Pos.,Veículo,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
87º,Mitsubishi Pajero HPE,160,200,200,200,200,281,200,150,245,120,140,200,2.296
88º,Peugeot 308,100,110,359,328,323,272,154,166,152,62,108,138,2.272
89º,Volvo XC60,193,150,165,175,165,181,171,178,182,170,185,229,2.144
90º,Volkswagen SpaceFox,286,250,205,164,147,187,148,161,157,157,117,87,2.066
91º,Lifan X60,232,193,241,132,130,177,152,134,149,179,141,177,2.037
92º,Fiat Bravo,311,90,95,78,115,58,136,113,227,439,215,92,1.969
93º,Hyundai i30,287,255,286,212,241,200,139,105,89,52,57,36,1.959
94º,Land Rover Range Rover Evoque,199,146,179,170,192,165,144,152,141,139,173,157,1.957
95º,Chevrolet TrailBlazer,77,66,95,142,50,66,43,161,147,391,293,412,1.943
96º,Honda CR-V,219,159,274,268,188,74,46,154,132,125,144,156,1.939
97º,Kia Picanto,340,233,141,141,127,95,147,133,148,118,132,123,1.878
98º,Iveco Daily,126,141,175,167,153,144,187,183,184,125,149,140,1.874
99º,Renault Kangoo,128,117,137,184,249,152,122,112,90,148,118,291,1.848
100º,Ford Fiesta Sedan,345,269,208,187,135,109,106,82,67,48,41,40,1.637
,,,,,,,,,,,,,,
101º,Kia Cerato,104,134,135,134,142,161,156,198,176,118,68,83,1.609
102º,Suzuki Jimny,155,103,146,97,130,156,103,130,109,109,127,138,1.503
103º,Troller T4,114,109,196,111,113,123,105,104,90,113,122,153,1.453
104º,Fiat Linea,316,133,147,135,138,79,101,120,118,116,32,14,1.449
105º,Kia Bongo,88,97,119,117,100,86,120,107,136,120,157,125,1.372
106º,Hyundai Santa Fe,131,92,113,94,123,124,87,93,82,89,128,124,1.280
107º,Fiat Doblò Cargo,31,112,113,100,82,157,129,216,100,42,30,46,1.158
108º,Chevrolet Captiva,72,49,138,159,151,118,131,86,80,42,50,35,1.111
109º,Toyota RAV4,279,185,139,111,69,37,43,42,63,50,28,35,1.081
110º,Fiat 500,159,82,91,78,148,58,57,71,238,32,23,19,1.056
111º,BMW Série 1,52,61,99,134,170,146,165,152,24,15,11,3,1.032
112º,Volkswagen Tiguan,56,50,138,146,172,142,91,45,47,13,22,80,1.002
113º,Suzuki S-Cross,51,60,112,93,93,85,84,91,55,73,109,88,994
114º,Volkswagen Golf Variant,103,86,109,78,115,128,108,52,35,41,69,57,981
115º,Audi A4,101,20,62,103,110,78,57,44,59,73,101,150,958
116º,Hyundai Elantra,73,87,53,64,85,115,105,104,44,33,57,116,936
117º,Peugeot 408,62,57,88,117,184,124,69,47,57,26,41,55,927
118º,JAC T50,,,60,152,100,114,94,76,4,20,96,176,892
119º,CAOA Chery Celer,81,88,72,77,115,74,70,76,64,28,51,58,854
120º,Mini Hatch 3 portas,48,62,35,41,34,32,93,92,118,117,108,68,848
,,,,,,,,,,,,,,
121º,Lifan 530,65,40,97,74,58,78,66,45,62,54,80,98,817
122º,Citroën Jumper,95,124,112,55,69,43,11,50,95,30,42,83,809
123º,Kia Sorento,60,36,39,44,43,56,146,107,49,69,75,73,797
124º,Mercedes-Benz CLA,66,66,86,56,70,60,44,45,69,65,52,71,750
125º,BMW X4,58,67,64,36,43,40,61,56,63,84,64,99,735
126º,Mercedes-Benz Classe A,42,28,53,48,76,87,45,67,95,68,51,68,728
127º,Land Rover Range Rover Sport,61,49,74,61,59,60,88,60,50,50,50,58,720
128º,Subaru Forester,58,53,56,60,56,64,64,60,60,69,53,50,703
129º,Suzuki Grand Vitara,103,69,56,54,61,66,75,70,134,7,2,1,698
130º,BMW X5,58,48,51,27,14,16,40,59,61,69,67,186,696
131º,Dodge Journey,67,71,94,107,123,102,74,16,5,3,,12,674
